DATE,Mortgage,ERate,GDP
10/1/2016,3.84,74.17,2797.35
1/1/2017,4.17,74.81,2789.84
4/1/2017,3.98,74.93,2723.88
7/1/2017,3.88,74.83,2667.57
10/1/2017,3.92,74.46,2591.25
1/1/2018,4.28,74.27,2526.61
4/1/2018,4.54,74.12,2476.95
7/1/2018,4.57,73.64,2395.05
10/1/2018,4.78,73.47,2331.63
1/1/2019,4.37,73.15,2202.76
4/1/2019,4.01,72.59,2164.27
7/1/2019,3.66,72.06,2118.47
10/1/2019,3.70,71.73,2055.91
